"week","ALDER","ASH","BEECH","BIRCH","COTTONWOOD","ELM","HACKBERRY","HAZELNUT","HICKORY","JUNIPER","MAPLE","MULBERRY","OAK","PINE","PRIVET","SEDGES","SWEET GUM","SYCAMORE","WALNUT","WILLOW","CATTAIL","COCKLEBUR","DOG FENNEL","MUGWORT","NETTLE","PIGWEED","PLANTAIN","RAGWEED","SHEEP SORREL","Total","BETULA"
15,1.302,4.38,1.736,6.034,0,0.118,1.776,0,19.682,5.998,0.236,518.336,291.312,122.624,0.71,0,9.78,36.286,9.27,31.474,0.118,0,0,0,0,0,0,0,0.67,1061.842,6.034
16,0.434,3.984,1.066,2.05,0,0,2.012,0.236,11.516,4.93,1.302,15.03,97.98,57.624,1.302,0,1.38,27.218,8.954,11.242,0,0,0,0,0,0.434,0,0,0.236,248.93,2.286
17,0,2.128,1.656,0.944,1.302,0.236,0.83,0,28.522,3.078,0,3.786,56.096,10.414,0.592,0,0.118,4.972,4.614,4.26,0,0,0,0,0.472,0,0.118,0,0.828,124.966,0.944
18,0,0.828,0.354,0.236,0.118,0,0.71,0,47.572,1.422,0,48.522,17.752,5.206,0.592,0.236,0.118,3.55,4.972,1.54,0,0,0,0,0,0.118,0,0.118,0.472,134.436,0.236
19,0,0.236,1.658,0.354,0.118,0,0.118,0,69.23,1.536,0,64.97,20.59,7.336,2.84,0.354,0,4.852,5.918,3.786,0.118,0,0,0,0,0.118,0.118,0.354,0.354,184.958,0.354
20,0.0983333333333333,0,3.64833333333333,1.08333333333333,2.56333333333333,0.0983333333333333,0.393333333333333,0,14.5933333333333,2.76166666666667,0.395,4.535,5.91833333333333,10.75,0.888333333333333,0,0.196666666666667,0.888333333333333,1.775,0.886666666666667,0.0983333333333333,0.0983333333333333,0,0,0,0,0.196666666666667,0.296666666666667,0.493333333333333,52.6566666666667,1.08333333333333
21,0,0,0.4425,0,0.1475,0,0,0,2.07,3.845,0,1.1825,2.0725,5.475,0.445,0.295,0.445,0,0.8875,0.74,0.5925,0,0,0,0,0,0.4425,0.445,0.5925,20.12,0
22,0,0,2.604,0,0,0,0,0,3.076,3.43,0,2.13,0.236,17.988,0.236,0.118,0.118,0.118,0.946,0.472,0,0.118,0,0,0,0,1.066,0,0,32.656,0
23,0,0,2.248,0.118,0,0,0,0,0.236,2.366,0,0.71,0.236,2.13,0,0.236,0.118,0,0,0.474,0,0,0,0,0,0,1.182,0,0.356,10.41,0.118
24,0,0.118,0.828,0.118,0,0,0,0,0.354,4.142,0,0.356,0.472,1.776,1.302,0,0,0,0,0.118,0.118,0.118,0,0,0,0,3.432,0.236,1.066,14.554,0.118
25,0,0,0.948,0,0,0,0,0,0.118,2.604,0,0.118,0.236,1.774,0,0,0,0,0.236,0,0,0.118,0,0,0,0,1.182,0,0.236,7.57,0
26,0,0,0.354,0,0,0,0,0,0,2.486,0,0,0.118,0.236,0,0,0,0.118,0.118,0.118,0,0,0,0,0,0.118,1.776,0,0.828,6.27,0
27,0,0,0.74,0,0,0,0,0,0.1475,2.07,0,0,0,1.48,0,0,0,0,0,0,0,0.295,0,0,0,0,2.3675,0.1475,0.1475,7.395,0
28,0,0,0.236,0,0,0,0,0,0,1.064,0,0.354,0.118,0.592,0,0,0,0,0,0,0,0.118,0,0,0.236,0,1.42,0,0.236,4.374,0
29,0,0,0,0.118,0,0,0,0,0.118,0.946,0,1.066,0.118,0.472,0,0,0,0,0,0,0,0,0,0,0,0.118,0.948,0,0,3.904,0.118
30,0,0,0,0.118,0.236,0.118,0,0,0,0.354,0,0.236,0.946,2.484,0,0,0.236,0,0,0,0,0.118,0,0,0.236,0.236,0.354,0.236,0,5.908,0.118
31,0,0,0,0,0,0,0,0,0,0,0,0.59,0.59,0.708,0,0,0,0,0,0,0,0,0,0,0.354,0.118,0.118,0.236,0,2.714,0
32,0,0,0.118,0.118,0,0,0,0,0.118,0.356,0,0.472,0.118,0.354,0,0,0,0,0,0,0,0,0,0,0.71,0.236,0.236,0,0.236,3.072,0.118
33,0,0,0,0,0,0,0,0,0,0,0,1.42,0.118,0.236,0,0,0,0,0,0,0,0,0.118,0.118,0,0.71,0.118,0.472,0,3.31,0
34,0,0,0,0,0,0,0,0,0.118,0.118,0,1.182,0,0.472,0,0,0,0,0,0,0,0,0,0.118,0.236,0.236,0.118,0.592,0,3.19,0
35,0,0,0,0,0,36.568,0,0,0.236,0.236,0,0.356,0,0.236,0,0,0,0,0,0,0,0,0,0,2.368,0.118,0,1.422,0,41.54,0
36,0,0,0,0,0,1.035,0,0,0.1475,0,0,0.74,0.1475,0.295,0,0,0,0,0,0,0,0,0,0.74,1.035,0.4425,0,8.1375,0.445,13.165,0
37,0,0,0,0,0,7.338,0,0,0.118,0,0.118,0,0.472,1.182,0,0,0,0.118,0,0,0,0,0.354,0,0.828,1.184,0,12.546,0.474,24.732,0
38,0,0,0,0,0,6.626,0,0,0,0.118,0,0.118,0,0.472,0,0,0,0,0,0,0,0,0,0,1.538,0.828,0,20,0.236,29.936,0
39,0,0,0,0,0,21.656,0,0,0.118,0.118,0,0.236,0,0.592,0,0,0,0,0,0,0,0,0,0,0.118,0.236,0,6.744,0,29.818,0
40,0,0,0,0,0,11.834,0,0,0.236,0.236,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302,0,14.676,0,28.52,0
41,0,0,0,0,0,0.474,0,0,0,1.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0,14.674,0.118,16.804,0
42,0,0,0,0,0,0.236,0,0,0.118,1.422,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0.71,0,15.384,0.118,18.46,0
43,0,0,0,0,0,0.354,0,0,0,0,0,0,0,0.118,0,0.118,0,0,0,0,0,0,0,0,0,0,0,4.614,0,5.204,0
44,0,0,0,0,0,0.118,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.472,0,2.482,0,4.372,0
45,0,0,0,0,0,0.118,0,0,0,1.064,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0.118,0.118,0,0,1.184,0.236,3.31,0
46,0,0,0,0,0,0,0,0,0,0.354,0,0,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0.946,0,1.654,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0.708,0,1.534,0
48,0,0,0,0,0,0,0,0,0,0.593333333333333,0,0,0.196666666666667,0.393333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983333333333333,0,2.16666666666667,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.236,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0.118,0.118,0.708,0
50,0,0,0,0,0,0.118,0,0,0,0.356,0,0,0,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,1.184,0
51,0,0,0.1475,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1475,0,0.59,0
